Account_Level	ActiveId1	ActiveId2	ActiveId3	ActiveId4	ActivePlayerId	Assists	Ban1	Ban10	Ban10Id	Ban1Id	Ban2	Ban2Id	Ban3	Ban3Id	Ban4	Ban4Id	Ban5	Ban5Id	Ban6	Ban6Id	Ban7	Ban7Id	Ban8	Ban8Id	Ban9	Ban9Id	Camps_Cleared	Conquest_Losses	Conquest_Points	Conquest_Tier	Conquest_Wins	Damage_Bot	Damage_Done_In_Hand	Damage_Done_Magical	Damage_Done_Physical	Damage_Mitigated	Damage_Player	Damage_Taken	Damage_Taken_Magical	Damage_Taken_Physical	Deaths	Distance_Traveled	Duel_Losses	Duel_Points	Duel_Tier	Duel_Wins	Entry_Datetime	Final_Match_Level	First_Ban_Side	GodId	Gold_Earned	Gold_Per_Minute	Healing	Healing_Bot	Healing_Player_Self	ItemId1	ItemId2	ItemId3	ItemId4	ItemId5	ItemId6	Item_Active_1	Item_Active_2	Item_Active_3	Item_Active_4	Item_Purch_1	Item_Purch_2	Item_Purch_3	Item_Purch_4	Item_Purch_5	Item_Purch_6	Joust_Losses	Joust_Points	Joust_Tier	Joust_Wins	Killing_Spree	Kills_Bot	Kills_Double	Kills_Fire_Giant	Kills_First_Blood	Kills_Gold_Fury	Kills_Penta	Kills_Phoenix	Kills_Player	Kills_Quadra	Kills_Siege_Juggernaut	Kills_Single	Kills_Triple	Kills_Wild_Juggernaut	Map_Game	Mastery_Level	Match	Match_Duration	MergedPlayers	Minutes	Multi_kill_Max	Objective_Assists	PartyId	Rank_Stat_Conquest	Rank_Stat_Duel	Rank_Stat_Joust	Reference_Name	Region	Skin	SkinId	Structure_Damage	Surrendered	TaskForce	Team1Score	Team2Score	TeamId	Team_Name	Time_In_Match_Seconds	Towers_Destroyed	Wards_Placed	Win_Status	Winning_TaskForce	hasReplay	hz_gamer_tag	hz_player_name	match_queue_id	name	playerId	playerName	playerPortalId	playerPortalUserId	ret_msg
143	9120	12333	0	0	700019798	2			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	10311	142	13870	0	5011	3559	7274	3494	3780	2	204709	0	0	0	0	10/16/2019 12:00:09 AM	10		3811	6960	572	1110	0	1243	7641	9634	7791	0	0	0	Magic Shell	Relic			Breastplate of Valor	Shoes of Focus	Void Stone				0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	Joust 3v3	83	974184698	0	None	12	0	0	261430	1487.37793	0	1488.27319	Yemoja	NA	Healing Water	17844	0	1	2	0	0	700236654	Nevu	729	0	2	Loser	1	n	Lone Star Trill	None	448	Normal: Joust	700019798	[NeVu]Lone Star Trill	10	2533275007129106	None
126	7672	12333	0	0	0	1			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	9019	595	0	12209	2635	3190	8085	1138	6947	4	180867	0	0	0	0	10/16/2019 12:00:09 AM	8		1991	6676	549	0	0	1531	8547	9626	7827	0	0	0	Aegis Amulet	Relic			Transcendence	Warrior Tabi	Mace				0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	Joust 3v3	94	974184698	0	None	12	0	0	219651	0	0	0	Ullr	NA	The Survivor	10296	0	1	2	0	0	700267159	GRGG	729	0	0	Loser	1	n	Brendullls	None	448	Normal: Joust	0		None	None	None
145	8879	11106	0	0	503517061	6			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	31712	1466	47412	0	11433	15700	13571	4786	8785	2	338566	0	0	0	0	10/16/2019 12:00:09 AM	17		3811	15207	708	1048	0	2873	8551	9634	12678	7641	17355	7832	Purification Beads	Shield of Thorns			Bancroft's Talon	Shoes of Focus	Genji's Guard	Breastplate of Valor	Pridwen	Divine Ruin	0	0	0	0	3	74	0	0	0	0	0	0	4	0	0	4	0	0	Joust 3v3	105	974184710	0	None	21	1	2	256144	0	0	1507.03125	Yemoja	NA	Healing Water	17844	192	1	2	0	0	500259763	Divine Myth	1288	0	0	Winner	2	n	ShAdOw3K1nG	None	448	Normal: Joust	503517061	[dMyth]ShAdOw3K1nG	9	1133357932357027026	None
112	8879	7672	0	0	701018424	3			0	0		0		0		0		0		0		0		0		0	3	0	0	0	0	38295	7929	0	48993	3949	10698	15215	5167	10048	4	333501	0	0	0	0	10/16/2019 12:00:09 AM	15		2002	14353	668	0	0	2503	0	7575	9626	10664	7593	17090	Purification Beads	Aegis Amulet				The Executioner	Warrior Tabi	Ichaival	Qin's Sais	Asi	0	0	0	0	3	69	2	0	1	0	0	1	7	0	0	5	0	0	Joust 3v3	101	974184710	0	[{'merge_datetime': 'Apr 16 2019  7:45PM', 'playerId': '11167467', 'portalId': '1'}]	21	2	4	257244	1556.25	1507.03125	1507.03125	Rama	NA	Orbital Strike	10744	2805	1	2	0	0	700352177	ArkansasBoyz	1288	1	5	Winner	2	n	GPxBlindsidex	None	448	Normal: Joust	701018424	[501x]GPxBlindsidex	10	2533274817670221	None
130	8879	7672	0	0	505369920	7			0	0		0		0		0		0		0		0		0		0	4	0	0	0	0	40082	274	59954	0	2885	19872	12463	6316	6147	3	358742	0	0	0	0	10/16/2019 12:00:09 AM	16		2056	14051	654	0	0	2760	15483	7594	9634	8354	16882	0	Purification Beads	Aegis Amulet			Evolved Mage's Blessing	Gem of Isolation	Shoes of Focus	Spear of the Magus	Doom Orb		0	0	0	0	2	74	0	0	0	0	0	0	3	0	0	3	0	0	Joust 3v3	81	974184710	0	None	21	1	1	259303	1472.71985	1464.84375	1476.36938	Ah Puch	NA	Horrific Harvester	17826	0	1	2	0	0	500251332	Team Dont Panic	1288	0	0	Winner	2	n	neday	None	448	Normal: Joust	505369920	[PANIC]neday	9	3024019038834872781	None
128	7672	9120	0	0	703875569	2			0	0		0		0		0		0		0		0		0		0	4	0	0	0	0	50996	6913	0	68226	6216	17230	20389	14444	5945	3	356022	0	0	0	0	10/16/2019 12:00:09 AM	17		2107	14350	668	0	0	3121	7575	14096	9627	7523	17090	11111	Aegis Amulet	Magic Shell			The Executioner	Blackthorn Hammer	Ninja Tabi	Titan's Bane	Asi	The Crusher	0	0	0	0	6	122	1	0	0	0	0	0	7	0	0	5	1	0	Joust 3v3	94	974184710	0	None	21	3	1	261665	1457.99109	1380.46875	1507.03125	Skadi	NA	Pixel Lancer	16552	708	1	1	0	0	700195740	BRvip	1288	0	0	Loser	2	n	Necroma177	None	448	Normal: Joust	703875569	[BRvip]Necroma177	10	2535411557578056	None
68	8844	9120	0	0	700893397	5			0	0		0		0		0		0		0		0		0		0	2	0	0	0	0	48496	856	59063	0	10976	10567	22208	11433	10775	7	329303	0	0	0	0	10/16/2019 12:00:09 AM	14		1676	13184	614	31	417	6515	7534	8551	9633	7917	7525	0	Blink Rune	Magic Shell			Pythagorem's Piece	Bancroft's Talon	Shoes of the Magi	Warlock's Staff	Obsidian Shard		0	0	0	0	1	91	0	0	0	0	0	0	2	0	0	2	0	0	Joust 3v3	50	974184710	0	None	21	1	1	256693	0	0	0	Hades	NA	Bloodfire	7774	426	1	1	0	0	700354815	EquityGG	1288	0	0	Loser	2	n	NAWxp	None	448	Normal: Joust	700893397	[EQTGG]NAWxp	10	2533274908300328	None
127	8844	12333	0	0	702672306	7			0	0		0		0		0		0		0		0		0		0	3	0	0	0	0	16898	533	21708	0	7128	4810	13891	10398	3493	4	332777	0	0	0	0	10/16/2019 12:00:09 AM	13		3811	11548	537	3771	0	1778	15578	9634	12665	9361	9360	0	Blink Rune	Relic			Evolved Attacker's Blessing	Shoes of Focus	Gauntlet of Thebes	Spirit Robe	Cloak of Concentration		0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	Joust 3v3	96	974184710	0	None	21	0	1	256693	1489.75317	1507.03125	1474.69226	Yemoja	NA	Healing Water	17844	430	1	1	0	0	700354815	EquityGG	1288	0	0	Loser	2	n	FlobbyKnockerss	None	448	Normal: Joust	702672306	[EQTGG]FlobbyKnockerss	10	2533275019105721	None
151	8879	7672	0	0	700675683	4			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	22450	340	35291	0	3348	12841	8043	5608	2435	5	202889	0	0	0	0	10/16/2019 12:00:09 AM	14		1668	12442	913	0	0	614	15725	9634	7784	8551	9849	0	Purification Beads	Aegis Amulet			Evolved Book of Thoth	Shoes of Focus	Chronos' Pendant	Bancroft's Talon	Magic Focus		0	0	0	0	5	46	1	0	1	0	0	0	10	0	0	9	0	0	Joust 3v3	100	974184722	0	None	13	2	2	261102	1556.25	1507.03125	1507.03125	Anubis	NA	Stargazer	9578	565	1	2	0	0	700005790	IMMORTAL LEADER	817	0	0	Winner	2	n	OOhippo	None	448	Normal: Joust	700675683	[LEAD]OOhippo	10	2535426797064979	None
88	8879	12333	0	0	0	8			0	0		0		0		0		0		0		0		0		0	3	0	0	0	0	26253	6760	0	39181	2920	12928	8752	4971	3781	3	210405	0	0	0	0	10/16/2019 12:00:09 AM	13		1872	10771	791	0	0	2030	15767	9627	9236	0	0	0	Purification Beads	Relic			Transcendence	Ninja Tabi	Bloodforge				0	0	0	0	3	78	0	0	0	0	0	1	4	0	0	4	0	0	Joust 3v3	56	974184722	0	None	13	1	2	261102	0	0	0	Neith	NA	Worldweaver	12860	1714	1	2	0	0	0		817	1	0	Winner	2	n	KiddProdigy245	None	448	Normal: Joust	0		None	None	None
